,Date,Description,Amount,Transaction Type,Category,Account Name
653,06-03-2019,Credit Card Payment,260.95,credit,Credit Card Payment,Platinum Card
661,06-07-2019,Credit Card Payment,458.56,debit,Credit Card Payment,Checking
666,06/13/2019,Credit Card Payment,152.72,credit,Credit Card Payment,Platinum Card
667,06/13/2019,Credit Card Payment,152.72,debit,Credit Card Payment,Checking
675,06/20/2019,Credit Card Payment,375.26,debit,Credit Card Payment,Checking
677,06/20/2019,Credit Card Payment,100.68,credit,Credit Card Payment,Silver Card
678,06/21/2019,Credit Card Payment,100.68,debit,Credit Card Payment,Checking
693,07-06-2019,Credit Card Payment,220.08,credit,Credit Card Payment,Silver Card
697,07-08-2019,Credit Card Payment,305.28,debit,Credit Card Payment,Checking
698,07-08-2019,Credit Card Payment,220.08,debit,Credit Card Payment,Checking
699,07-09-2019,Credit Card Payment,549.72,credit,Credit Card Payment,Platinum Card
708,07/18/2019,Credit Card Payment,814.5,debit,Credit Card Payment,Checking
712,07/19/2019,Credit Card Payment,115.52,credit,Credit Card Payment,Platinum Card
715,07/22/2019,Credit Card Payment,257.08,credit,Credit Card Payment,Silver Card
717,07/23/2019,Credit Card Payment,257.08,debit,Credit Card Payment,Checking
733,08-05-2019,Credit Card Payment,349.28,credit,Credit Card Payment,Platinum Card
734,08-05-2019,Credit Card Payment,117.65,credit,Credit Card Payment,Silver Card
735,08-06-2019,Credit Card Payment,521.17,debit,Credit Card Payment,Checking
736,08-06-2019,Credit Card Payment,117.65,debit,Credit Card Payment,Checking
744,08/15/2019,Credit Card Payment,335.2,debit,Credit Card Payment,Checking
748,08/17/2019,Credit Card Payment,87.17,credit,Credit Card Payment,Platinum Card
752,08/19/2019,Credit Card Payment,1248.95,debit,Credit Card Payment,Checking
770,09-06-2019,Credit Card Payment,1390.37,credit,Credit Card Payment,Platinum Card
771,09-06-2019,Credit Card Payment,1390.37,debit,Credit Card Payment,Checking
772,09-06-2019,Credit Card Payment,502.75,debit,Credit Card Payment,Checking
780,09-11-2019,Credit Card Payment,360.56,credit,Credit Card Payment,Silver Card
782,09-12-2019,Credit Card Payment,360.56,debit,Credit Card Payment,Checking
787,09/16/2019,Credit Card Payment,90.57,debit,Credit Card Payment,Checking
788,09/16/2019,Credit Card Payment,90.57,credit,Credit Card Payment,Silver Card
790,09/17/2019,Credit Card Payment,186.13,credit,Credit Card Payment,Platinum Card
793,09/18/2019,Credit Card Payment,1606.46,debit,Credit Card Payment,Checking
796,09/20/2019,Credit Card Payment,9.43,credit,Credit Card Payment,Silver Card
798,09/23/2019,Credit Card Payment,9.43,debit,Credit Card Payment,Checking
